r2
0.9973
0.9987
0.9994
0.9998
0.9993
0.989
0.988
0.9969
0.9954
0.9994
0.9949
0.9859
0.9805
0.9929
0.9958
0.996
0.997
0.9794
0.9926
0.977
0.9987
0.9977
0.9891
0.9997
0.999
0.9996
0.9982
0.9993
0.9923
0.9986
0.9825
1.0
0.9998
0.9998
0.9999
0.9995
0.9999
0.9942
1.0
0.9999
0.9707
0.9956
0.9822
0.9912
0.9869
0.9942
0.9929
0.977
0.9847
0.9742
0.9997
0.9996
0.9981
0.9997
0.9999
0.9993
0.9982
0.9985
0.9989
0.9997
0.9894
0.9871
0.9966
0.9996
0.9999
0.999
0.9996
0.9917
0.9994
0.9984
0.9997
0.9983
0.9992
0.9997
0.9987
0.9843
0.9978
0.9858
0.9996
1.0
0.9996
0.9993
0.9944
0.9999
0.9999
0.9975
0.9997
0.9994
0.9998
1.0
0.9839
0.9836
0.9998
0.9958
0.9988
0.9886
0.997
0.9918
0.9999
1.0
0.9996
0.9971
0.9979
0.9996
0.9989
0.9967
0.9933
0.987
0.9964
0.9999
0.9987
0.9985
0.9966
1.0
0.9996
0.973
0.9999
0.9981
0.999
0.9994
0.9865
0.9979
0.9968
0.9999
0.9999
0.9771
0.9993
0.9925
0.9999
1.0
0.9999
0.9999
0.9999
1.0
0.9991
0.9998
0.9878
0.9999
0.9977
0.9999
0.9924
0.9812
0.9903
0.9994
0.9836
0.9998
0.9999
0.9963
1.0
0.9998
0.9966
0.9999
0.9853
0.9999
0.9999
0.9995
0.9998
0.9868
0.9999
1.0
0.9988
0.9997
0.9775
0.9989
0.9991
0.9921
0.9915
0.9886
0.9954
0.9998
0.9945
0.9838
0.9991
0.9896
0.9897
0.9969
0.9957
0.9871
0.9987
1.0
0.9998
0.9963
0.9725
0.9997
0.9998
0.9937
0.9949
0.9982
0.9903
0.9943
0.9886
0.9996
0.9991
0.9999
0.9999
0.9899
0.995
0.9848
0.9992
0.9997
0.9882
0.9948
0.9991
0.9839
0.9866
0.9871
0.9992
0.9018
0.9999
1.0
0.9905
0.9831
0.9721
0.9863
0.9968
0.9439
0.9999
0.9996
0.9991
0.9997
0.9996
0.9997
0.9996
1.0
0.9985
0.9976
0.9986
0.9996
0.9993
0.9891
0.9953
0.9981
0.9984
0.9985
0.9996
0.9973
0.9992
0.9991
0.9996
0.9846
