edge,r2,x,f_kan,f_cubic
1,0.998,-0.6073,-0.01449,-0.01495
1,0.998,-0.5964,-0.0136,-0.01372
1,0.998,-0.5854,-0.01274,-0.01258
1,0.998,-0.5744,-0.01192,-0.01151
1,0.998,-0.5635,-0.01114,-0.01052
1,0.998,-0.5525,-0.01039,-0.00961
1,0.998,-0.5416,-0.00969,-0.00878
1,0.998,-0.5306,-0.00903,-0.00802
1,0.998,-0.5196,-0.00841,-0.00733
1,0.998,-0.5087,-0.00784,-0.00672
1,0.998,-0.4977,-0.00731,-0.00617
1,0.998,-0.4867,-0.00683,-0.0057
1,0.998,-0.4758,-0.00639,-0.00529
1,0.998,-0.4648,-0.00601,-0.00494
1,0.998,-0.4538,-0.00567,-0.00466
1,0.998,-0.4429,-0.00537,-0.00444
1,0.998,-0.4319,-0.00513,-0.00428
1,0.998,-0.4209,-0.00494,-0.00418
1,0.998,-0.41,-0.0048,-0.00413
1,0.998,-0.399,-0.00471,-0.00415
1,0.998,-0.388,-0.00467,-0.00421
1,0.998,-0.3771,-0.00467,-0.00433
1,0.998,-0.3661,-0.00473,-0.0045
1,0.998,-0.3551,-0.00484,-0.00472
1,0.998,-0.3442,-0.005,-0.00499
1,0.998,-0.3332,-0.0052,-0.00531
1,0.998,-0.3222,-0.00546,-0.00567
1,0.998,-0.3113,-0.00576,-0.00607
1,0.998,-0.3003,-0.00611,-0.00651
1,0.998,-0.2893,-0.00651,-0.007
1,0.998,-0.2784,-0.00695,-0.00752
1,0.998,-0.2674,-0.00743,-0.00808
1,0.998,-0.2564,-0.00796,-0.00868
1,0.998,-0.2455,-0.00854,-0.00931
1,0.998,-0.2345,-0.00915,-0.00998
1,0.998,-0.2235,-0.0098,-0.01067
1,0.998,-0.2126,-0.01049,-0.0114
1,0.998,-0.2016,-0.01122,-0.01215
1,0.998,-0.1906,-0.01198,-0.01293
1,0.998,-0.1797,-0.01278,-0.01373
1,0.998,-0.1687,-0.01361,-0.01456
1,0.998,-0.1577,-0.01447,-0.01541
